time,temperature_2m,snowfall_sum,skin_reservoir_content,surface_latent_heat_flux_sum,surface_net_solar_radiation_sum,total_evaporation_sum,runoff_sum,u_component_of_wind_10m,v_component_of_wind_10m,surface_pressure,leaf_area_index_high_vegetation,total_precipitation_sum,ssta
195406,291.6909915,0.0,6.08e-05,-197125327.3,517702648.1,-0.078824907,0.011166957,-0.507918756,0.930813618,86834.95552,0.698319377,0.107494499,-0.7910000000000004
195407,293.2163096,0.0,8.68e-05,-207984440.1,464547400.7,-0.083167164,0.021592094,-0.898365102,1.288695792,86759.88067,0.711122468,0.144584198,-1.0686666666666689
195408,292.2877976,0.0,0.000107713,-198302454.8,384649049.2,-0.079295609,0.08217548,-1.042363862,0.855839388,87070.14791,0.71072481,0.252527817,-1.404
195409,287.583399,0.0,5.11e-05,-169701250.6,398273397.2,-0.067858785,0.067425703,-0.039840584,0.374107554,87438.93766,0.687580031,0.093615351,-1.6073333333333295
195410,280.1350524,1.63e-05,2.91e-05,-95401312.21,344464368.3,-0.038148278,0.022258273,0.756225642,0.172092148,87997.86207,0.66392672,0.032945427,-1.4430000000000014
195411,274.7819591,0.012684666,1.76e-05,-35986990.14,224958262.9,-0.014322431,0.013485076,0.888964369,0.421497192,88003.55703,0.654729289,0.022558323,-1.057666666666666
195412,259.5431874,0.014411156,2.57e-05,-9346535.664,119332256.7,-0.003308582,0.010079187,0.735202081,0.024201137,88346.96121,0.652955144,0.014480738,-1.3009999999999984
195501,257.5982242,0.002258802,5.06e-05,-14593292.72,152737859.1,-0.005155834,0.008410638,1.42895545,-0.189377065,88410.0091,0.652556326,0.002308998,-0.9423333333333339
195502,268.2034868,0.003354541,2.02e-05,-25864393.4,269380556.0,-0.009622694,0.006902921,1.718112811,0.269653489,87509.91269,0.653089458,0.003589636,-0.9316666666666684
195503,274.426543,0.02233204,1.68e-05,-53250967.41,364806144.3,-0.021018094,0.006113891,0.198934036,0.918965725,87542.31672,0.656374316,0.032517437,-1.0146666666666668
195504,281.3871734,0.001798003,3.31e-05,-118945726.4,426727236.5,-0.047547409,0.005612541,0.146212325,0.883674683,87353.84684,0.662611706,0.038913366,-1.1096666666666657
195505,287.9053886,4.3e-05,2.86e-05,-173604768.1,551411587.7,-0.069419439,0.005651434,0.811278805,0.658835174,87141.63836,0.679155309,0.043280287,-1.152000000000001
195506,293.6375537,0.0,3.36e-05,-200478827.7,578835815.1,-0.080165877,0.007339883,0.180881424,1.039093098,86877.46705,0.698319377,0.084096003,-1.0410000000000004
195507,295.3210269,0.0,4.01e-05,-218797337.1,561844326.3,-0.087490939,0.005593538,-0.482188203,1.394426718,86830.20379,0.711122468,0.066482632,-1.0286666666666697
195508,294.608542,0.0,5.83e-05,-202143677.0,457291202.1,-0.080831608,0.014120774,-1.184620714,2.29983096,87255.37816,0.71072481,0.120130475,-1.323999999999998
195509,288.9591837,0.0,5.4e-05,-165505917.0,369226615.7,-0.06618119,0.03290058,0.258695958,1.060111801,87490.24189,0.687580031,0.159938159,-1.4473333333333294
195510,280.0134506,0.000249463,3.23e-05,-96393723.71,327427399.5,-0.038544347,0.011673325,0.344695285,0.390002679,88052.16643,0.66392672,0.051856561,-2.2630000000000017
195511,272.3574225,0.000176205,6.11e-06,-28586213.48,271919336.9,-0.011422748,0.007983305,1.420828598,-0.075011008,88121.63341,0.654729289,0.002681393,-2.3776666666666664
195512,269.5467289,0.003909664,2.21e-06,-8151071.822,214616835.1,-0.003186746,0.007016791,0.879946321,0.364624126,87747.66537,0.652955144,0.003991728,-1.9909999999999997
195601,261.6740091,0.012175568,2.36e-06,-15385251.82,187708441.0,-0.005452898,0.006264414,1.654008893,-0.17050917,87823.41841,0.652556326,0.012242838,-1.2123333333333335
195602,265.0025399,0.006628479,2.29e-06,-20352591.92,276125805.3,-0.007412418,0.00550893,0.703707374,-0.223140401,87686.47414,0.653119904,0.006749294,-0.9816666666666656
195603,273.4246393,0.026415263,2.41e-05,-45266121.64,329129115.2,-0.017705973,0.006647071,-0.161339394,0.783489717,87511.22938,0.656388888,0.047541881,-0.7746666666666648
195604,281.6043936,0.001221426,2.52e-05,-134148945.3,473408545.5,-0.053582773,0.00581544,1.342945292,0.158369565,87165.65642,0.662611706,0.034080649,-0.8596666666666657
195605,287.1578344,7.53e-05,2.73e-05,-162548376.5,567721169.3,-0.064997536,0.005741281,0.853693649,0.739246112,87003.69189,0.679155309,0.048824411,-0.6820000000000022
195606,292.0781411,0.0,5.67e-05,-189853283.0,492793473.7,-0.07591702,0.01216334,0.066945136,0.723154878,86741.2973,0.698319377,0.119383912,-0.7810000000000024
195607,294.3261009,0.0,6.3e-05,-248688602.6,550130043.5,-0.099443619,0.020649669,0.327640182,0.616148853,86751.83402,0.711122468,0.144099867,-0.9486666666666679
195608,291.7930087,0.0,8.74e-05,-205064598.9,418161800.8,-0.081999601,0.051908534,-0.833169525,1.010736933,87169.31539,0.71072481,0.173969016,-1.154
195609,288.1914296,1.05e-09,2.5e-05,-185789924.9,481278321.1,-0.074292196,0.019872974,0.721433971,0.790923248,87445.33605,0.687580031,0.047892606,-0.9973333333333301
195610,279.922014,0.000456093,1.87e-05,-86838326.81,355459741.8,-0.034721929,0.01248459,1.245958897,0.360810504,88028.69975,0.66392672,0.020270374,-0.9230000000000018
195611,268.880718,0.0047682,3.21e-06,-18524058.37,262110863.3,-0.007232063,0.008564468,1.671819906,-0.412964249,88263.69826,0.654729289,0.005395913,-1.0676666666666677
195612,262.6839492,0.000965064,4.83e-07,-4797826.11,220795316.8,-0.001741543,0.007060029,1.446987505,-0.218428369,88191.68218,0.652955144,0.001014183,-0.8509999999999991
195701,263.0328133,0.007240457,9.47e-07,-9528807.375,230883890.2,-0.003389455,0.006067931,0.852471568,0.002811285,87902.52102,0.652556326,0.007290097,-0.5123333333333342
195702,262.6029866,0.004860554,6.96e-07,-17526223.05,283909333.5,-0.00629899,0.004794846,1.531957805,-0.20721418,87895.43202,0.653089458,0.004921306,-0.201666666666668
195703,274.0263733,0.00547027,4.87e-06,-39936499.38,451576660.7,-0.015739044,0.004059337,1.015515792,-0.145300539,87535.86658,0.656374316,0.009361615,0.22533333333333516
195704,280.5681234,0.017424613,3.7e-05,-104594099.2,437672132.2,-0.041609039,0.005192519,0.735853436,1.011546949,87332.144,0.662611706,0.074260563,0.5203333333333333
195705,285.9931652,1.83e-05,2.19e-05,-183564332.9,577447043.3,-0.073401833,0.003997499,1.147892228,0.559420569,87180.33932,0.679155309,0.044847959,0.7379999999999995
195706,291.8916143,0.0,4.65e-05,-189310659.1,569699076.2,-0.075700038,0.006507498,0.162048328,0.803096636,86913.64311,0.698319377,0.077958175,0.7689999999999984
195707,294.3957412,0.0,4.02e-05,-217681776.4,577816786.8,-0.087044856,0.006651016,0.308797614,0.175697265,86673.85182,0.711122468,0.072254842,0.9913333333333334
195708,293.9177308,0.0,5.41e-05,-170007066.9,504558666.7,-0.067981073,0.028225326,-0.029223213,0.40475546,87062.47142,0.71072481,0.150632947,0.8560000000000016
195709,285.3808596,8.09e-07,3.24e-05,-149978688.6,447248950.3,-0.059972265,0.010937235,0.831471733,0.1213694,87774.38041,0.687580031,0.049974847,0.7126666666666708
195710,280.383147,0.00029817,2e-06,-76355370.4,401814707.9,-0.030528699,0.005486962,1.380398913,-0.039569632,87951.0442,0.66392672,0.001514048,0.7469999999999999
195711,273.7755498,0.00851652,2.22e-05,-24051755.94,232069742.9,-0.009560747,0.00419591,1.491580326,0.203769734,87964.01974,0.654729289,0.020664465,0.9923333333333346
195712,266.0868567,0.001558419,2.83e-05,-9135189.524,192996791.7,-0.003391432,0.003519543,1.640529279,0.009751259,87824.36359,0.652955144,0.001768362,1.3389999999999986
195801,260.2599206,0.006879072,1.41e-05,-11151947.32,215609987.5,-0.003974408,0.003060919,1.593538834,-0.456396507,88172.13419,0.652556326,0.006957848,1.777666666666665
195802,266.3418399,0.005337385,1.25e-05,-20903483.11,280585223.7,-0.007690864,0.003098987,1.425977466,-0.286636369,87721.2702,0.653089458,0.00562207,1.4983333333333313
195803,274.1081272,0.009527482,9.1e-06,-43444353.42,431749291.6,-0.017068273,0.002810321,1.138924841,0.170795149,87501.52372,0.656374316,0.014113538,1.0353333333333339
195804,282.7327357,0.000723387,1.04e-05,-100668270.7,509458641.3,-0.040243395,0.002441224,1.21764604,0.713748344,87192.24793,0.662611706,0.030633259,0.5603333333333325
195805,287.641138,0.00628613,2.7e-05,-177444642.0,530874435.3,-0.07092183,0.002742233,0.073703687,0.879956956,87229.12689,0.679155309,0.071763459,0.49799999999999756
195806,293.3518067,0.0,2.32e-05,-185239226.4,554138351.3,-0.074071987,0.002146237,0.029609651,0.917169008,87024.1831,0.698319377,0.043690628,0.39899999999999736
195807,295.3280741,0.0,6.74e-05,-231747317.4,529448489.0,-0.092669274,0.024295366,-0.474091435,1.218170054,86769.15929,0.711122468,0.190943011,0.14133333333333198
195808,290.8996408,0.0,7.43e-05,-226362084.9,450014195.8,-0.090515869,0.030811754,-0.961630739,0.696401572,87249.95724,0.71072481,0.188078175,0.01600000000000179
195809,288.1217074,8.39e-05,3.69e-05,-181743477.8,424923975.7,-0.072673029,0.016639241,0.460080014,1.421294184,87520.207,0.687580031,0.074731316,-0.3273333333333319
195810,279.334896,0.001572093,2.53e-05,-93336487.55,340283254.8,-0.037287688,0.007057105,0.743142795,0.613286619,88039.12906,0.66392672,0.034126847,-0.22300000000000253
195811,271.7396769,0.003296489,9.57e-06,-27851018.94,242506595.1,-0.011017267,0.005161048,0.933664106,0.04517249,88234.03272,0.654729289,0.008523832,0.12233333333333363
195812,267.9835552,0.005066337,1.31e-06,-8722792.281,202836648.5,-0.003275856,0.004559313,1.435366436,0.173316144,87909.28956,0.652955144,0.005203304,0.05900000000000105
195901,262.2645111,0.001435842,2.65e-07,-8251209.888,255258713.2,-0.002983251,0.004108712,2.165437996,-0.577533924,87996.70261,0.652556326,0.001486323,0.5176666666666669
195902,268.4652567,0.018025353,2.47e-06,-17606231.8,239491955.3,-0.00652373,0.003453785,0.094346771,0.421618396,87817.60376,0.653089458,0.018597822,0.4383333333333326
195903,274.1633561,0.015117485,2.24e-05,-62074121.8,357355452.0,-0.024323036,0.005841028,0.352877741,0.660973379,87718.90688,0.656374316,0.031673512,0.23533333333333317
195904,281.4012288,0.000692563,1.14e-05,-111912628.5,508613453.6,-0.044730108,0.003056912,1.907920989,-0.032332613,87224.37957,0.662611706,0.010946574,0.1703333333333319
195905,288.0261443,4.58e-05,1.29e-05,-145549394.5,572396364.3,-0.058200796,0.002938928,0.594702335,0.537303019,87304.78259,0.679155309,0.023589041,-0.11200000000000188
195906,292.0831349,7.33e-07,3.86e-05,-174286743.2,542389495.4,-0.069692397,0.00432932,0.58749683,0.440724357,86841.66416,0.698319377,0.076876138,-0.22100000000000009
195907,294.7244282,0.0,6.66e-05,-244020774.9,538517488.2,-0.097577085,0.017627735,0.108211084,0.968469973,86764.38256,0.711122468,0.157553568,-0.738666666666667
195908,292.6660912,0.0,6.26e-05,-241417417.9,502759880.2,-0.096536076,0.067618954,0.196568067,0.349433233,87013.61741,0.71072481,0.218435601,-0.7439999999999998
195909,286.3830265,2.58e-09,4.58e-05,-158723931.4,444414490.6,-0.063469261,0.013250937,0.428358016,-0.027734266,87490.95748,0.687580031,0.076996279,-0.8073333333333288
195910,282.03467,0.000118873,1.85e-05,-96821165.34,377843957.0,-0.038715392,0.009126552,1.041479386,0.662488775,87861.01832,0.66392672,0.02215437,-0.4330000000000034
195911,270.3881337,0.00127503,3.11e-06,-20103608.08,257616046.7,-0.007991467,0.006914415,1.369141184,-0.065568882,88095.96748,0.654729289,0.002473931,-0.5876666666666672
195912,264.7374086,0.006344785,6.97e-07,-7476166.161,199616237.1,-0.00275967,0.005955941,1.504449433,-0.344420677,88224.09599,0.652955144,0.006420508,-0.3810000000000002
196001,263.2667538,0.002682962,4.78e-07,-12364343.37,244019193.7,-0.004394959,0.005229138,2.142181978,-0.341142269,87966.60922,0.652556326,0.002722726,-0.28233333333333377
196002,270.9084821,0.000533251,6.55e-07,-14358338.54,334144398.7,-0.005598681,0.004229498,2.088057071,-0.189061203,87908.70975,0.653119904,0.00068046,-0.451666666666668
196003,275.6260785,0.012163574,1.39e-05,-50994287.39,410388159.0,-0.020173899,0.003990626,0.180479842,0.463613225,87537.49141,0.656388888,0.022904032,-0.25466666666666526
196004,280.5635319,0.007013487,9.76e-06,-107880337.8,498346966.7,-0.043018341,0.003404434,1.158799558,-0.04614622,87496.22265,0.662611706,0.026431146,-0.21966666666666868
196005,286.925707,0.001007521,1.52e-05,-137922926.9,569658021.4,-0.05515038,0.003254043,0.572686421,0.415997645,87244.84997,0.679155309,0.031709059,-0.13200000000000145
196006,294.3840519,0.0,1.73e-05,-151178629.4,613654528.2,-0.060452106,0.00245758,1.087471995,0.415441525,86939.96673,0.698319377,0.022620939,-0.35100000000000264
196007,295.0435061,0.0,5.26e-05,-218733501.6,535597068.9,-0.087465412,0.007171254,-0.547602596,1.013227487,86950.00224,0.711122468,0.125909444,-0.2986666666666693
